# Constructed from biom file
OTU ID	Koz121203_A	Koz121203_B	Koz121203_C	Koz121205_A	Koz121205_B	Koz121205_C	Koz121207_A	Koz121207_B	Koz121207_C	Koz130125_A	Koz130125_B	Koz130125_C	Koz130211_A	Koz130211_B	Koz130211_C	Koz130220_A	Koz130220_B	Koz130220_C	Koz130306_A	Koz130306_B	Koz130306_C	Koz130401_A	Koz130401_B	Koz130401_C	Koz130403_A	Koz130403_B	Koz130403_C	Koz130417_A	Koz130417_B	Koz130417_C	Koz130422_A	Koz130422_B	Koz130422_C
878e597e7fe8a2e644380740245e0e1a	0.0	0.0	0.0	4.0	0.0	0.0	8.0	5.0	0.0	474.0	359.0	525.0	2182.0	1668.0	1694.0	2537.0	2002.0	2579.0	683.0	890.0	738.0	0.0	0.0	0.0	1815.0	2216.0	3626.0	3882.0	4913.0	4479.0	4806.0	6128.0	6176.0
6631a4962ed2b226aaed1d08510ed5c1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	396.0	252.0	398.0	1832.0	1288.0	1411.0	2433.0	1791.0	2262.0	707.0	919.0	766.0	0.0	0.0	834.0	2547.0	3643.0	2940.0	2934.0	3728.0	3249.0	3848.0	4817.0	4934.0
d2cff1d6b5ea4512b2d98ab3e9fb4dd4	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	445.0	297.0	470.0	1920.0	1296.0	1305.0	2100.0	1376.0	1629.0	611.0	595.0	480.0	1066.0	864.0	475.0	2739.0	2803.0	2109.0	3119.0	3736.0	3001.0	4209.0	4364.0	4353.0
e21e804c8cb49a5e0492b8fc5454220f	0.0	0.0	0.0	53.0	13.0	0.0	25.0	9.0	0.0	280.0	132.0	251.0	1200.0	604.0	856.0	2836.0	1304.0	2190.0	931.0	536.0	1314.0	954.0	639.0	795.0	2287.0	1607.0	3221.0	2239.0	1680.0	3658.0	2617.0	1838.0	4694.0
1852e832efdfe4c7bae40fd60b0b433f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0	192.0	299.0	1356.0	865.0	987.0	2009.0	1204.0	1652.0	524.0	615.0	500.0	801.0	849.0	499.0	2098.0	2194.0	1912.0	2580.0	2657.0	2513.0	2903.0	3315.0	3697.0
b6433c0ebd3432bfac81026671042fe2	21.0	9.0	0.0	57.0	15.0	0.0	87.0	31.0	0.0	710.0	585.0	694.0	2339.0	1985.0	1630.0	1489.0	1234.0	957.0	477.0	765.0	339.0	589.0	748.0	189.0	2705.0	3634.0	2173.0	692.0	898.0	744.0	2447.0	3316.0	2836.0
6e0c95a79387957ffd7b5651fe559e10	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	251.0	187.0	247.0	1257.0	931.0	921.0	1662.0	1170.0	1526.0	493.0	580.0	511.0	0.0	0.0	0.0	2100.0	2501.0	1978.0	2016.0	2550.0	2262.0	2704.0	3388.0	3410.0
1b2ec5a828629a259819811ec86f1cbc	0.0	0.0	0.0	24.0	13.0	0.0	30.0	0.0	0.0	520.0	399.0	537.0	1805.0	1264.0	1140.0	1156.0	787.0	676.0	396.0	362.0	214.0	0.0	0.0	0.0	1716.0	1912.0	1127.0	0.0	0.0	0.0	2361.0	2893.0	2711.0
b2062ae94fb00a931014b67b499295a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	34.0	90.0	516.0	198.0	408.0	1309.0	507.0	1157.0	395.0	187.0	715.0	887.0	549.0	1198.0	1395.0	775.0	2380.0	1159.0	674.0	2336.0	1311.0	768.0	2478.0
5403d132d2a70f2009a675628b65526b	0.0	0.0	0.0	20.0	0.0	0.0	32.0	9.0	0.0	430.0	333.0	477.0	1657.0	1069.0	1254.0	1113.0	717.0	878.0	394.0	378.0	301.0	373.0	267.0	125.0	1710.0	1822.0	1688.0	409.0	465.0	0.0	1473.0	1752.0	1967.0
83168151958cf0c09a4407b3d73d5320	0.0	0.0	0.0	12.0	0.0	0.0	8.0	0.0	0.0	328.0	228.0	304.0	1173.0	777.0	831.0	1088.0	708.0	674.0	677.0	695.0	491.0	511.0	452.0	141.0	1458.0	1576.0	1118.0	394.0	427.0	353.0	1344.0	1404.0	1417.0
8b3d43a6338bca9e25ce1589254899a2	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	272.0	237.0	384.0	848.0	698.0	731.0	589.0	424.0	514.0	130.0	153.0	151.0	154.0	102.0	93.0	870.0	972.0	979.0	868.0	1144.0	1053.0	1649.0	2249.0	2595.0
e632a1fe68cdda470b071116c7c3c901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	251.0	385.0	1486.0	898.0	1007.0	1037.0	655.0	887.0	272.0	295.0	284.0	122.0	106.0	71.0	1238.0	1242.0	1219.0	259.0	304.0	328.0	1405.0	1756.0	1678.0
8001826dafd338cf078dd28c2eae05ed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	91.0	371.0	191.0	321.0	1008.0	471.0	973.0	314.0	182.0	596.0	735.0	464.0	1040.0	1101.0	733.0	1868.0	937.0	646.0	1704.0	990.0	668.0	1926.0
bb125749dbf9ed6d76e1e7fcccef2f6e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	429.0	278.0	442.0	1454.0	916.0	1028.0	655.0	416.0	418.0	297.0	232.0	118.0	0.0	0.0	0.0	1001.0	1020.0	752.0	0.0	148.0	166.0	1612.0	1613.0	1874.0
a00174964f69e788283b3d2f06a4dd8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	87.0	129.0	526.0	403.0	402.0	735.0	517.0	602.0	233.0	269.0	223.0	0.0	0.0	0.0	928.0	1178.0	855.0	961.0	1189.0	1010.0	1326.0	1397.0	1429.0
cb97fb83d4c8cc6eccded352a4ca3f8f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	68.0	357.0	162.0	231.0	780.0	381.0	743.0	239.0	185.0	426.0	613.0	464.0	896.0	826.0	616.0	1397.0	837.0	610.0	1509.0	788.0	566.0	1600.0
080e64ca3a267f4cf566e97b5c414185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	76.0	106.0	491.0	371.0	377.0	643.0	460.0	597.0	192.0	246.0	210.0	160.0	150.0	0.0	837.0	1003.0	781.0	826.0	1012.0	903.0	1132.0	1323.0	1299.0
02df8598ac39f1ef54609afb19c8c450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	52.0	83.0	419.0	236.0	330.0	809.0	416.0	766.0	220.0	175.0	436.0	330.0	243.0	538.0	672.0	512.0	1229.0	725.0	478.0	1340.0	779.0	639.0	1461.0
4fba6fef450158c1bd1cbcb5a0e8f5e5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	24.0	35.0	111.0	132.0	90.0	301.0	329.0	316.0	198.0	290.0	181.0	483.0	618.0	338.0	732.0	1027.0	622.0	673.0	950.0	672.0	631.0	885.0	643.0
1542e91c99d9766e4afa866f20f227e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	72.0	49.0	323.0	258.0	31.0	892.0	803.0	117.0	1066.0	997.0	142.0	931.0	596.0	65.0	693.0	566.0	70.0	423.0	346.0	35.0	297.0	223.0	36.0
350cc0dbd98b7027a9f1d4103f0b02a2	0.0	0.0	0.0	10.0	0.0	0.0	6.0	4.0	0.0	828.0	558.0	787.0	795.0	563.0	564.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	905.0	961.0	723.0	0.0	0.0	0.0	586.0	774.0	732.0
1425b9951771d8e436e33053dc3f60b9	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	363.0	221.0	349.0	803.0	578.0	530.0	268.0	180.0	149.0	95.0	92.0	0.0	49.0	0.0	0.0	599.0	741.0	468.0	0.0	0.0	0.0	693.0	809.0	829.0
42c4392b0f2ce815ed2c339e476acfe4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	31.0	98.0	271.0	147.0	264.0	702.0	393.0	1013.0	568.0	293.0	796.0	161.0	113.0	156.0	173.0	104.0	243.0	110.0	58.0	130.0	150.0	70.0	242.0
15ecc66212de2e7c756e331988fc356b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	135.0	166.0	457.0	294.0	279.0	0.0	0.0	0.0	0.0	27.0	0.0	67.0	48.0	0.0	465.0	523.0	319.0	0.0	0.0	0.0	1168.0	1081.0	1027.0
b1ee3581856c578b93e8d50f56bbb739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	43.0	48.0	271.0	172.0	208.0	345.0	213.0	276.0	92.0	82.0	85.0	110.0	88.0	39.0	336.0	318.0	277.0	408.0	382.0	396.0	568.0	558.0	610.0
448dbd891a66d6cbc432a90f68113186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	85.0	94.0	250.0	232.0	172.0	613.0	520.0	600.0	493.0	389.0	481.0	261.0	188.0	121.0	280.0	186.0	222.0	155.0	96.0	115.0	137.0	132.0	0.0
bb8c02901bd9c2f369e5f205dcb5b725	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	238.0	160.0	205.0	396.0	376.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.0	527.0	308.0	0.0	242.0	0.0	852.0	1093.0	872.0
675c847bccbc53942ebb7b8cbb4efc4d	0.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	13.0	10.0	8.0	44.0	58.0	54.0	122.0	154.0	146.0	98.0	109.0	71.0	202.0	309.0	136.0	330.0	435.0	258.0	308.0	434.0	278.0	304.0	418.0	304.0
95595a8e5962ef69862b877b403c5943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	146.0	0.0	442.0	454.0	0.0	607.0	514.0	88.0	430.0	377.0	37.0	301.0	291.0	0.0	221.0	186.0	24.0	166.0	150.0	0.0
2f4a2b08eec8d8d5f66dc0d20552881f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	120.0	70.0	69.0	454.0	315.0	464.0	575.0	184.0	258.0	193.0	120.0	114.0	142.0	87.0	127.0	60.0	54.0	80.0	69.0	54.0	61.0
a6dc2bed6569a7668b96e6a3c0309acb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	77.0	192.0	171.0	174.0	181.0	138.0	134.0	54.0	0.0	46.0	0.0	97.0	47.0	243.0	242.0	229.0	0.0	0.0	0.0	430.0	549.0	561.0
fd204f7a88e546b2288fb9b86489ba32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	13.0	33.0	30.0	29.0	30.0	155.0	124.0	177.0	484.0	331.0	511.0	141.0	191.0	169.0	133.0	102.0	137.0	70.0	75.0	129.0	66.0	73.0	92.0
4c6543b7092aba29bbede183c6a5bcee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	111.0	179.0	152.0	86.0	119.0	14.0	13.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	43.0	139.0	129.0	146.0	532.0	485.0	673.0
c6cdc71a1f7376db5a843ade152ed641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	69.0	4.0	215.0	292.0	6.0	334.0	426.0	9.0	247.0	274.0	6.0	176.0	221.0	4.0	91.0	115.0	0.0	74.0	108.0	0.0
7f07df9d116ac11fcab8014ec47a8530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	10.0	25.0	55.0	61.0	88.0	75.0	121.0	103.0	11.0	43.0	59.0	0.0	0.0	0.0	59.0	187.0	213.0	71.0	224.0	252.0	91.0	227.0	355.0
899f472bcb20419a21a9af29154f02ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	34.0	0.0	79.0	50.0	0.0	0.0	101.0	0.0	168.0	149.0	0.0	251.0	209.0	16.0	161.0	122.0	15.0	86.0	69.0	10.0	60.0	54.0	4.0
ff60dce1df309761000c7cbf2a50f167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	13.0	21.0	72.0	39.0	70.0	66.0	38.0	56.0	16.0	21.0	19.0	20.0	27.0	0.0	97.0	89.0	90.0	111.0	116.0	117.0	151.0	140.0	196.0
d49defade3316e90a83eaef200a78022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	85.0	0.0	314.0	296.0	0.0	216.0	261.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	72.0	0.0
c8e3cc6804adcca1edc44bd1530962ee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	17.0	45.0	0.0	57.0	58.0	49.0	139.0	82.0	48.0	184.0	71.0	25.0	65.0	76.0	0.0	140.0	0.0	0.0	148.0	69.0	51.0	160.0
1569f7ae988e26c905ab8fab427c8a0d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	8.0	16.0	21.0	19.0	52.0	55.0	44.0	24.0	43.0	36.0	55.0	92.0	51.0	71.0	143.0	90.0	77.0	150.0	94.0	67.0	117.0	93.0
a0d03ba5342c2c82ac244c0c5ef28b92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	14.0	0.0	35.0	33.0	0.0	128.0	103.0	10.0	209.0	182.0	24.0	115.0	111.0	0.0	95.0	107.0	0.0	64.0	49.0	0.0	52.0	52.0	0.0
a3a5f80c745d186df4adaeb7f1ef8a32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	9.0	0.0	15.0	57.0	37.0	77.0	124.0	84.0	190.0	0.0	0.0	60.0	29.0	17.0	62.0	13.0	24.0	48.0	33.0	0.0	44.0
3f0dea331ca8721c5c4ac937442118b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	0.0	26.0	33.0	12.0	52.0	39.0	21.0	55.0	46.0	25.0	0.0	20.0	4.0	46.0	46.0	22.0	0.0	22.0	9.0	56.0	0.0	0.0
85d9007c53487899c12fbd8ba907894e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	130.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d0ccbddd25a6428c3692f0447f1b45c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85558f30598111ad5f0afc8a0b8005dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	150.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6d0d2890157e32746e58a8ddfdd43897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	21.0	10.0	46.0	44.0	48.0	83.0	67.0	58.0	0.0	19.0	0.0	0.0	0.0	21.0	25.0	0.0	21.0	0.0	0.0	0.0
0cb434c4d57fc65887fb6ac8ab33daee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	15.0	7.0	0.0	43.0	32.0	18.0	115.0	84.0	30.0	26.0	0.0	0.0	24.0	0.0	11.0	21.0	0.0	0.0	0.0	0.0	0.0
17c5e9416d83fb634c27084389f64b62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	94.0	60.0	86.0	74.0	0.0
4803fa01e0e83307a178f77a1babb7bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	3.0	0.0	18.0	2.0	28.0	18.0	8.0	39.0	51.0	17.0	13.0	0.0	0.0	39.0	38.0	7.0	14.0	18.0	0.0	37.0	25.0	8.0
31343b94deb6ad2b7282f6973326d8cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	108.0	85.0	103.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ba33d15a036999df590d2a05ee466dc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	25.0	25.0	0.0	55.0	59.0	24.0	55.0	0.0	23.0	39.0	40.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57f46f3ce1cb75d24fa74a3f3670affb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	10.0	0.0	35.0	26.0	28.0	42.0	46.0	45.0	11.0	0.0	11.0	0.0	33.0	23.0	0.0	0.0	5.0	17.0	0.0	0.0
59777186ad2e0947e97615b5d6225136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	13.0	10.0	0.0	17.0	12.0	27.0	27.0	0.0	20.0	28.0	17.0	20.0	26.0	17.0	18.0	21.0	16.0
93c68b0cc4cbc10f97ad9b1c0a1a9732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	0.0	17.0	18.0	0.0	41.0	43.0	5.0	33.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	33.0	31.0	0.0
d4d06b507f9ab6c6841d5ffde84634e4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	62.0	46.0	32.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c87f1cd3e2d513f619073bf01aef7695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	43.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
332a6411ff00b4010ac2397f504c4695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	3.0	4.0	14.0	8.0	4.0	8.0	5.0	0.0	11.0	6.0	22.0	21.0	11.0	12.0	21.0	8.0	0.0	24.0	11.0
6616dc3bd6aeb3e26b9b2218290ea574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	28.0	32.0	13.0	18.0	25.0	0.0	25.0	10.0	25.0
d8e7f9181e4d5a4a6453e9ca9996a43f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	4.0	5.0	4.0	8.0	2.0	8.0	0.0	0.0	16.0	18.0	10.0	12.0	23.0	16.0	16.0	17.0	19.0
edae7c34cd5e602407fb0d4e3a80f57a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c4052f1c9c6faa61677bf78871c7600f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55beed6d1a19ce34788b66488ffe3917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	7.0	8.0	0.0	16.0	12.0	10.0	8.0	13.0	8.0	19.0	15.0	0.0
ce8d80fdae0390f6200cd80fa1a2a0f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0
